,b_iat_max,b_iat_mean,b_iat_min,b_iat_std,b_iat_total,b_pkt_len_max,b_pkt_len_mean,b_pkt_len_min,b_pkt_len_std,flow_ack,flow_cwr,flow_ece,flow_fin,bpkt_per_second,f_i_max,f_i_mean,f_i_std,f_i_min,f_i_total,f_pro,f_psh,f_rst,f_syn,f_urg,fpps,fo_i_max,fo_i_min,fo_i_mean,fo_i_std,fo_i_total,fo_pl_max,fo_pl_min,fo_pl_std,fo_pl_mean,fp_per_second,tb_p,t_bhlen,t_fhlen,tf_p,tl_bp,tl_fp,class
13114,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,1.7935058274965225,0.0,0.0,0.0,0.0,0.181684995987409,0.08967529137482613,0.08967529137482613,0.181684995987409,0.181684995987409,7.135717948769126,1.7935058274965225,0.0,0.0,0.0,2.0,0.181684995987409,0.181684995987409,0.181684995987409,0.08967529137482613,0.181684995987409,198.33637762257302,113.07661072243393,42.62988345006955,155.70649417250348,2.0,0.0,54.0,0.0,2.0,0.0,311.41298834500697,0.0
13115,0.8958732568505565,0.4824192072221396,0.007512194183069178,0.2774371611727752,95.93025070711752,66.0,66.0,66.0,0.0,526.2886009938667,0.0,0.0,0.0,201.2814194136124,0.9634096062846818,0.5199640920987287,0.2874730690740465,9.167682888720638e-05,271.77862305412725,6.0,60.505386185190694,0.0,0.0,0.0,526.2886009938667,0.9634096062846818,9.167682888720638e-05,9.167682888720638e-05,0.2975089769753178,171.93631827943025,1454.9964092098728,95.00359079012713,446.926409910881,1255.081151848556,325.00718158025427,201.2814194136124,8775.193902666864,5434.598324167535,325.00718158025427,13284.573681298418,407880.8196854725,0.0
13116,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,58.0,58.0,0.0,58.0,1.0,0.0,25.0,0.0,1.0,0.0,58.0,0.0
13117,0.18730400000000103,0.08,0.0031770000000008736,0.07,0.561354000000005,249.0,128.14285714285714,66.0,73.88,24.0,0.0,0.0,2.0,7.0,0.18752199999999952,0.07,0.07,0.00021799999999849717,1.6899019999999823,6.0,7.0,0.0,0.0,0.0,24.0,0.18452099999999838,0.014286999999999495,0.014286999999999495,0.06,1.1270219999999878,1518.0,66.0,644.24,668.1764705882352,17.0,7.0,461.0,189.0,17.0,897.0,11359.0,0.0
13118,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,58.0,58.0,0.0,58.0,1.0,0.0,25.0,0.0,1.0,0.0,58.0,0.0
13119,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,54.0,54.0,0.0,54.0,1.0,0.0,24.0,0.0,1.0,0.0,54.0,0.0
13120,-1.0,0.0,99999.0,0.0,0.0,54.0,54.0,54.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0011849999999999916,0.0,0.0,0.0011849999999999916,0.0011849999999999916,6.0,1.0,0.0,0.0,0.0,2.0,-1.0,99999.0,99999.0,0.0,0.0,352.0,352.0,0.0,352.0,1.0,1.0,24.0,24.0,1.0,54.0,352.0,0.0
13121,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,1458.0,1458.0,0.0,1458.0,1.0,0.0,27.0,0.0,1.0,0.0,1458.0,0.0
13122,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,99999.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,-1.0,99999.0,99999.0,0.0,0.0,58.0,58.0,0.0,58.0,1.0,0.0,25.0,0.0,1.0,0.0,58.0,0.0
13123,-1.0,-1.0,99999.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.13794799999999974,0.06,0.05,0.0015859999999996433,0.45358399999999754,6.0,2.0,0.0,1.0,0.0,7.0,0.13794799999999974,0.0015859999999996433,0.0015859999999996433,0.05,0.45358399999999754,66.0,54.0,4.53,57.57142857142857,7.0,0.0,171.0,0.0,7.0,0.0,403.0,0.0
13124,-1.0,0.0,99999.0,0.0,0.0,54.0,54.0,54.0,0.0,2.0,0.0,0.0,0.0,1.0,0.041898000000001545,0.02,0.02,0.041898000000001545,0.041898000000001545,6.0,1.0,0.0,0.0,0.0,2.0,-1.0,99999.0,99999.0,0.0,0.0,784.0,784.0,0.0,784.0,1.0,1.0,24.0,24.0,1.0,54.0,784.0,0.0
